title,video_url,views,date_published
How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=9j_EBt3RNrs,55K views,"03 Feb, 2023"
How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=m0h3Ghl6mgY,85K views,"03 Feb, 2023"
Interviewing Ken Jee | The Face of Data Science on YouTube,https://www.youtube.com/watch?v=tRCGGlMI19M,6.9K views,"03 Feb, 2023"
CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,https://www.youtube.com/watch?v=0QZBnhofU_U,23K views,"03 Feb, 2023"
How to use Drill Down in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=ulFY20KTzFQ,106K views,"03 Feb, 2023"
"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",https://www.youtube.com/watch?v=PEc29sRZoTM,18K views,"03 Feb, 2023"
How to use DAX in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=vcijg0gUXSg,108K views,"03 Feb, 2023"
Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,https://www.youtube.com/watch?v=gCg47n_TlFc,21K views,"03 Feb, 2023"
How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=sW5LoDA1ssM,128K views,"03 Feb, 2023"
Machine Learning Specialization on Coursera | Review,https://www.youtube.com/watch?v=4nsdARJGzJ0,22K views,"03 Feb, 2023"
Meta Marketing Analytics Professional Certificate on Coursera | Review,https://www.youtube.com/watch?v=_QvQxm4dptI,31K views,"03 Feb, 2023"
Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,https://www.youtube.com/watch?v=HX2TabgkzHo,45K views,"03 Feb, 2023"
How to use Power Query in Power BI | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=gP-AxNi6uxo,183K views,"03 Feb, 2023"
Automating Crypto Website API Pull Using Python | Data Analyst Project,https://www.youtube.com/watch?v=KB2CtEDrglY,48K views,"03 Feb, 2023"
How to use a Public API | Using a Public API with Python,https://www.youtube.com/watch?v=2HfSFdPEFRg,28K views,"03 Feb, 2023"
How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,https://www.youtube.com/watch?v=g0m5sEHPU-s,263K views,"03 Feb, 2023"
MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,https://www.youtube.com/watch?v=Q7i6zxHVj2Q,114K views,"03 Feb, 2023"
Top 3 Tips to Stop Procrastinating to be Successful,https://www.youtube.com/watch?v=ddn-2r1j_OU,33K views,"03 Feb, 2023"
SQL vs NoSQL | What's the Difference?,https://www.youtube.com/watch?v=Pf-9pjJK1e0,55K views,"03 Feb, 2023"
Database vs Data Warehouse vs Data Lake | What is the Difference?,https://www.youtube.com/watch?v=-bSkREem8dM,595K views,"03 Feb, 2023"
How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,https://www.youtube.com/watch?v=xKdtP3IZbnU,11K views,"03 Feb, 2023"
Things I HATE About Being a Data Analyst,https://www.youtube.com/watch?v=2JnlQ8jwWbE,34K views,"03 Feb, 2023"
Best Website to Practice Technical Interview Questions,https://www.youtube.com/watch?v=hNTNZ00cZig,17K views,"03 Feb, 2023"
Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,https://www.youtube.com/watch?v=gz2j5NBESSs,7K views,"03 Feb, 2023"
Full Project in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=opJgMj1IUrc,595K views,"03 Feb, 2023"
Top 5 Non-Technical Skills for Data Analysts,https://www.youtube.com/watch?v=yRWkSKRYCaI,21K views,"03 Feb, 2023"
Cleaning Data in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=_jmiEGZ6PIY,390K views,"03 Feb, 2023"
Tableau Data Analyst Certification Review,https://www.youtube.com/watch?v=4A8LV6fObYA,58K views,"03 Feb, 2023"
Job Title Alternatives for Data Analysts,https://www.youtube.com/watch?v=MPENhkuSo0Q,25K views,"03 Feb, 2023"
Best Coursera Courses for Data Analysts in 2022,https://www.youtube.com/watch?v=3irO29PJQHs,108K views,"03 Feb, 2023"
Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,https://www.youtube.com/watch?v=uHJFJUIYNAo,20K views,"03 Feb, 2022"
Charts in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=gMAHXrty6wI,88K views,"03 Feb, 2022"
How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,https://www.youtube.com/watch?v=BIUFr9srS78,22K views,"03 Feb, 2022"
Conditional Formatting in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=_eZRkmRfVTM,122K views,"03 Feb, 2022"
How To Become A Data Analyst In 2022,https://www.youtube.com/watch?v=yDG5KiiOZcQ,496K views,"03 Feb, 2022"
XLOOKUP in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=Z7hPEwCzk2s,144K views,"03 Feb, 2022"
Formulas in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=XRPyj7cKVsQ,234K views,"03 Feb, 2022"
Pivot Tables in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=lH7HfwUFnYA,468K views,"03 Feb, 2022"
Full Beginner Project in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=zOR0-nygfDE,209K views,"03 Feb, 2022"
How to use Joins in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=A4SVUF-fTwc,95K views,"03 Feb, 2022"
Top 5 Major Red Flags in Job Descriptions,https://www.youtube.com/watch?v=FnTunxd8tAM,18K views,"03 Feb, 2022"
Truth About My Job (Song) - As a Data Analyst,https://www.youtube.com/watch?v=-_z_aphWSEo,10K views,"03 Feb, 2022"
How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,https://www.youtube.com/watch?v=pL0jEjeM5hI,11K views,"03 Feb, 2022"
Choosing a Domain to Make More Money,https://www.youtube.com/watch?v=eg_5EAUXs5o,18K views,"03 Feb, 2022"
How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=ebjDwX8sUMk,127K views,"03 Feb, 2022"
How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=f6qxxtWkaUg,162K views,"03 Feb, 2022"
How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=6xv1KvCMF1Q,532K views,"03 Feb, 2022"
How NOT to Become a Data Analyst (Funny?),https://www.youtube.com/watch?v=465x3JmMJYU,17K views,"03 Feb, 2022"
100k Subscriber Play Button Unboxing,https://www.youtube.com/watch?v=Ns1ZpTxQnUE,2.6K views,"03 Feb, 2022"
Amazon Web Scraping Using Python | Data Analyst Portfolio Project,https://www.youtube.com/watch?v=HiOtQMcI5wg,218K views,"03 Feb, 2022"
Interviewing with PwC for a Senior Data Analyst Position,https://www.youtube.com/watch?v=CUa30M_FPhk,87K views,"03 Feb, 2022"
I Am No Longer a Data Analyst | Turning Down PwC | New Job,https://www.youtube.com/watch?v=_zxPx1PQCqI,143K views,"03 Feb, 2022"
When To Start Applying To Your First Data Analyst Job,https://www.youtube.com/watch?v=UGF49YZZRNc,71K views,"03 Feb, 2022"
Why You Need to Stop Taking Courses (From an Ex-Course Addict),https://www.youtube.com/watch?v=aLp-6C-p-T0,130K views,"03 Feb, 2022"
How to Create a Portfolio Website for FREE,https://www.youtube.com/watch?v=ocdwh0KYeUs,446K views,"03 Feb, 2022"
Data Analyst Portfolio Project | Correlation in Python | Project 4/4,https://www.youtube.com/watch?v=iPYVYBtUTyE,144K views,"03 Feb, 2022"
How To Get a Data Analyst Job (with No Experience),https://www.youtube.com/watch?v=dMHWOhgzUhU,449K views,"03 Feb, 2022"
My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,https://www.youtube.com/watch?v=A-LkxegXFX8,6.2K views,"03 Feb, 2022"
Favorite Tableau and Power BI Courses on Udemy,https://www.youtube.com/watch?v=RJw-GSXXguA,29K views,"03 Feb, 2022"
Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,https://www.youtube.com/watch?v=8rO7ztF4NtU,355K views,"03 Feb, 2022"
Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,https://www.youtube.com/watch?v=QILNlRvJlfQ,329K views,"03 Feb, 2022"
Asking My Family What I Do For a Living,https://www.youtube.com/watch?v=SVv0WwPzaUg,3.7K views,"03 Feb, 2022"
Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,https://www.youtube.com/watch?v=qfyynHBFOsM,1.6M views,"03 Feb, 2022"
